design_id,architecture_passive_separability_multiplier,architecture_discovery_rate_multiplier,architecture_probe_confirmation_multiplier,architecture_endpoint_pool_multiplier,architecture_rotation_speed_multiplier,architecture_protocol_diversity_multiplier,architecture_transport_overhead_multiplier,censor_false_positive_cap,censor_path_enforcement,censor_budget_multiplier,censor_block_ttl_multiplier,censor_retrain_interval,censor_platform_filter_rate,network_latency_multiplier,network_loss_multiplier,network_bandwidth_multiplier
design-0000,0.7523300920603535,0.7154834243897437,0.6253822390462219,1.4395209214538442,1.5464701084690038,1.2390340553430685,0.9381401216206686,0.0007222891190137752,0.8295404809697527,1.0218092154386573,1.112674623290336,9.0,0.5110960675360879,0.7479735158881552,0.9170619747255079,1.4627137025859391
design-0001,1.380041322225208,1.0538324571113789,1.462563662239945,1.1280567815209674,0.7863147221597748,1.28549665520665,0.931417824876415,0.0015018315128212034,0.821357821199847,1.5976788693016526,1.3963468169362097,8.0,0.7736722766109145,1.4828148235595084,0.8471029936637375,0.5824635979015044
design-0002,1.3011657228136535,1.5084802306201617,0.6521590429540011,1.4978043307848583,1.4054004134751281,0.5877579386458933,1.0838861419507826,0.0011481032495908867,0.9824580413445446,1.5401682644001375,1.1669689370305094,2.0,0.43390029672787,1.0011574046445142,1.330747282487747,1.3402096643597656
design-0003,1.3941086787794728,1.5484666126912918,0.6172224380268945,0.971850100141219,1.0092533190914512,1.3488970697843738,1.1159731660355363,0.0005550266426575146,0.8111383561685698,0.5339230450136543,1.4607247660616247,8.0,0.4800562716384851,0.8378898135108132,1.3483269727999545,0.6936065481657889
design-0004,0.7424266461898517,0.6027130422730649,1.4347814885380328,1.4203819647362477,0.8916003529015727,0.6247321040109686,0.9805648273943057,0.0009717690674982657,0.8880822184812104,0.9495727587986976,0.808283430427529,6.0,0.575189621891822,0.9821511616492519,1.6352810347829887,0.6490454294539125
design-0005,1.2730221797902432,0.43360409995867344,0.5170334895929868,1.24836123546137,1.239104532613315,1.3764413055618072,1.0603004854656692,0.0010147309323945092,0.8113729124648138,0.6433549887696276,0.9231736763391287,8.0,0.4998983009581201,0.9369761737442683,1.4258809432144748,1.2364222997116474
design-0006,0.8902577299898622,1.658046428718495,0.8571329650729551,1.2780186043282074,1.568298924583905,0.6764782317327953,0.9744135940432679,0.0017556654182134175,0.7679785242526983,1.3209930960561063,1.153532307043787,4.0,0.8218332530889445,1.170835190340961,0.8688569885437093,1.5208656014106525
design-0007,1.1544215009465695,1.3384218551829097,1.4856138286816511,1.0848005714691729,1.0734366326238285,1.0098908092494434,0.9305420133546805,0.0012292677278879507,0.8279636750114807,0.7583361111582013,1.2033521028521283,7.0,0.768335838459476,1.449801359855659,1.9535307938378885,1.5428853963677645
design-0008,0.80743831894282,0.9512259580243559,0.775486826310227,0.6710250267271105,0.9288827905360975,1.1404809456533798,1.0685466317480166,0.0027852919250929047,0.993746808330996,0.9154364339144534,0.6724268565437176,3.0,0.537882335290518,0.8717026844966635,1.4772473248263402,1.0166336500513051
design-0009,1.2914991243237668,1.5669889451180867,1.0882619070808799,1.0396045725375553,1.5317964729426676,0.8910172066277825,1.0557914509831583,0.001871947850552925,0.9711312329695567,0.9282197792186067,1.0751144504784613,3.0,0.961079100621796,1.1559092221883782,0.9835115538403423,1.5064015449473307
